"Country","State","District","Sub-District","Year","Infant Mortality Rate (Imr) (UOM:%(Percentage)), Scaling Factor:1","People Living In Kutchha Houses (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Not Using Solid Cooking Fuel (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Without Electricity Connection (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Did Not Consume Iron Folic Acid For 180 Days Or More When They Were Pregnant (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Have Not Had At Least 4 Antenatal Care Visits (%) (UOM:%(Percentage)), Scaling Factor:1","Women Age 15-49 Years Who Are Anemic (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Not Even One Household Member Has Completed Six Years Of Schooling (%) (UOM:%(Percentage)), Scaling Factor:1","Children Age 6 To 59 Months Who Are Underweight Or Stunted (%) (UOM:%(Percentage)), Scaling Factor:1","Children Aged 9-35 Months Who Did Not Receive Vitamin A Dose (%) (UOM:%(Percentage)), Scaling Factor:1","Per Capita Income At Current Prices 2019-20 (UOM:INR(IndianRupees)), Scaling Factor:1"
"India","Karnataka","Chikkaballapura","Chikkaballapura","Financial Year (Apr - Mar), 2020","0.00","","6.32","0.02","NaN","NaN","40.05","9.01","14.38","66.97","194130"
"India","Karnataka","Chikkaballapura","","Financial Year (Apr - Mar), 2020","42.52","33.96","7.41","0.00","None","3.59","46.34","10.09","28.17","63.98","153364"
"India","Karnataka","Chikkaballapura","","Financial Year (Apr - Mar), 2020","13.88","33.44","","0.01","94.53","13.42","47.61","13.79","21.85","65.65","92137"
"India","Karnataka","Chikkaballapura","Gudibanda","Financial Year (Apr - Mar), 2020","0.98","30.79","","0.02","NaN","2.42","44.85","13.08","14.49","33.87","88796"
"India","Karnataka","Chikkaballapura","Sidlaghatta","Financial Year (Apr - Mar), 2020","0.33","44.80","12.32","0.00","74.53","2.13","42.08","10.82","12.58","69.23","104407"
"India","Karnataka","Chikkamagaluru","Ajjampura","Financial Year (Apr - Mar), 2020","13.67","43.20","17.73","0.90","None","None","42.25","6.76","30.77","42.82","262841"
"India","Karnataka","Chikkamagaluru","Chikkamagaluru","Financial Year (Apr - Mar), 2020","11.96","39.13","24.73","0.16","84.83","None","35.91","3.77","17.16","69.95","270459"
"India","Karnataka","Chikkamagaluru","Kadur","Financial Year (Apr - Mar), 2020","2.80","31.29","","0.37","71.26","6.68","35.00","4.32","31.83","42.38","148072"
"India","Karnataka","Chikkamagaluru","Koppa","Financial Year (Apr - Mar), 2020","19.24","27.44","22.01","1.23","None","16.24","40.17","3.69","19.98","44.51","701464"
"India","Karnataka","Chikkamagaluru","Mudigere","Financial Year (Apr - Mar), 2020","3.66","28.79","51.38","0.91","80.89","4.86","30.75","5.06","34.24","41.52","156692"
"India","Karnataka","Chikkamagaluru","Narasimharajapura","Financial Year (Apr - Mar), 2020","12.67","29.99","20.86","1.57","79.34","15.48","38.53","5.67","12.97","54.90","505972"
"India","Karnataka","Chikkamagaluru","Sringeri","Financial Year (Apr - Mar), 2020","4.52","17.54","10.86","0.00","84.86","NaN","34.03","3.65","15.14","47.34","438972"
"India","Karnataka","Chikkamagaluru","Tarikere","Financial Year (Apr - Mar), 2020","13.17","48.67","15.99","1.30","67.87","10.30","31.51","8.38","23.40","50.72","307349"
"India","Karnataka","Chitradurga","","Financial Year (Apr - Mar), 2020","2.54","47.62","17.81","0.17","NaN","14.39","36.21","10.87","33.53","57.56","118585"
"India","Karnataka","Chitradurga","","Financial Year (Apr - Mar), 2020","NaN","42.20","21.30","0.27","52.76","18.79","31.73","7.47","26.38","31.52","127469"
"India","Karnataka","Chitradurga","Hiriyur","Financial Year (Apr - Mar), 2020","NaN","","24.06","0.09","73.98","14.37","36.30","7.70","47.35","55.55","127522"
"India","Karnataka","Chitradurga","Holalkere","Financial Year (Apr - Mar), 2020","10.32","45.98","21.35","0.02","64.92","None","34.61","8.64","37.30","52.36","116701"
"India","Karnataka","Chitradurga","","Financial Year (Apr - Mar), 2020","26.07","45.58","20.86","0.25","67.06","27.42","37.59","9.13","35.81","49.79","156114"
"India","Karnataka","Chitradurga","Molakalmuru","Financial Year (Apr - Mar), 2020","NaN","41.83","12.73","0.22","79.69","2.40","50.91","8.97","36.40","50.56","154953"
"India","Karnataka","Dakshina Kannada","","Financial Year (Apr - Mar), 2020","1.05","","25.55","0.01","69.29","6.46","34.90","2.82","30.41","69.89","318604"
"India","Karnataka","Dakshina Kannada","Beltangadi","Financial Year (Apr - Mar), 2020","6.67","24.44","47.04","0.02","NaN","10.41","34.39","1.84","25.87","58.52","330823"
"India","Karnataka","Dakshina Kannada","","Financial Year (Apr - Mar), 2020","6.30","","39.52","0.00","62.72","NaN","32.35","2.07","25.78","39.58","414937"
"India","Karnataka","Dakshina Kannada","Mangaluru","Financial Year (Apr - Mar), 2020","1.03","16.64","8.85","0.09","70.46","5.88","37.27","0.52","20.01","49.49","378750"
"India","Karnataka","Dakshina Kannada","Moodubidire","Financial Year (Apr - Mar), 2020","7.79","20.41","8.77","0.05","71.91","8.95","43.14","0.16","18.60","40.23","788705"
"India","Karnataka","Dakshina Kannada","Puttur","Financial Year (Apr - Mar), 2020","6.90","9.63","24.01","0.00","68.27","14.32","37.88","2.15","26.74","49.65","322839"
"India","Karnataka","Dakshina Kannada","Sulya","Financial Year (Apr - Mar), 2020","6.76","3.91","15.34","0.04","NaN","8.62","28.73","2.86","21.48","46.29","260635"
"India","Karnataka","Davangere","Channagiri","Financial Year (Apr - Mar), 2020","79.36","40.49","21.99","1.41","90.34","13.60","43.66","5.35","30.36","48.64","136427"
"India","Karnataka","Davangere","Davanagere","Financial Year (Apr - Mar), 2020","17.24","61.47","27.19","","85.02","13.96","46.53","3.18","32.60","60.02","174161"
"India","Karnataka","Davangere","Harihar","Financial Year (Apr - Mar), 2020","22.10","37.59","","0.14","92.29","35.16","41.34","3.06","27.36","58.40","112330"
"India","Karnataka","Davangere","Honnali","Financial Year (Apr - Mar), 2020","47.03","48.62","22.23","","None","18.31","43.92","3.63","41.94","54.50","143441"
"India","Karnataka","Davangere","","Financial Year (Apr - Mar), 2020","32.44","","20.99","0.18","84.78","NaN","44.04","5.21","44.18","54.15","164050"
"India","Karnataka","Davangere","Nyamathi","Financial Year (Apr - Mar), 2020","2.43","55.66","20.95","","82.52","8.14","44.36","3.27","55.60","47.59","111450"
"India","Karnataka","Dharwad","Alnavar","Financial Year (Apr - Mar), 2020","39.51","57.49","28.95","0.83","88.33","15.18","58.50","6.70","48.60","59.38","173311"
"India","Karnataka","Dharwad","Annigeri","Financial Year (Apr - Mar), 2020","39.50","55.37","","0.68","94.00","6.96","53.39","6.98","54.86","57.05","180965"
"India","Karnataka","Dharwad","Dharwad","Financial Year (Apr - Mar), 2020","4.02","56.92","30.75","0.66","84.37","7.37","59.94","4.63","51.45","64.86","79630"
"India","Karnataka","Dharwad","Hubballi","Financial Year (Apr - Mar), 2020","47.05","48.91","35.09","0.76","NaN","9.69","46.72","4.15","59.70","52.89","67245"
"India","Karnataka","Dharwad","","Financial Year (Apr - Mar), 2020","11.87","67.59","47.79","0.72","NaN","12.94","59.96","4.60","60.47","51.17","155465"
"India","Karnataka","Dharwad","Kundgol","Financial Year (Apr - Mar), 2020","14.68","","51.27","0.49","75.83","6.81","42.92","4.52","49.84","54.97","132573"
"India","Karnataka","Dharwad","Navalgund","Financial Year (Apr - Mar), 2020","47.43","47.43","36.53","0.55","91.89","8.38","51.37","5.47","50.14","54.71","188091"
"India","Karnataka","Gadag","","Financial Year (Apr - Mar), 2020","NaN","57.37","52.76","","77.50","11.94","50.39","5.66","43.18","50.21","147517"
"India","Karnataka","Gadag","Gajendragad","Financial Year (Apr - Mar), 2020","13.67","58.05","","0.33","91.98","21.58","57.78","11.06","62.13","81.54","110170"
"India","Karnataka","Gadag","Laxmeshwar","Financial Year (Apr - Mar), 2020","19.52","61.00","37.50","","86.29","22.07","43.08","8.16","51.66","63.24","89827"
"India","Karnataka","Gadag","Mundargi","Financial Year (Apr - Mar), 2020","None","","45.19","3.22","93.70","20.21","45.43","9.15","52.50","61.21","139645"
"India","Karnataka","Gadag","Nargund","Financial Year (Apr - Mar), 2020","28.02","56.72","64.90","4.52","85.11","21.52","47.28","9.40","55.22","65.53","135307"
"India","Karnataka","Gadag","Ron","Financial Year (Apr - Mar), 2020","60.15","64.60","","","95.52","36.42","56.55","7.10","60.73","43.89","154969"
"India","Karnataka","Gadag","Shirhatti","Financial Year (Apr - Mar), 2020","10.28","62.55","52.02","1.74","95.47","None","33.29","6.04","59.27","60.03","145007"
"India","Karnataka","Hassan","Alur","Financial Year (Apr - Mar), 2020","NaN","46.60","16.56","0.30","52.08","10.94","44.27","6.90","13.37","44.17","147887"
"India","Karnataka","Hassan","Arkalgud","Financial Year (Apr - Mar), 2020","26.95","41.77","14.16","0.65","55.55","10.53","48.01","8.55","34.11","47.67","241055"
"India","Karnataka","Hassan","Arsikere","Financial Year (Apr - Mar), 2020","89.97","51.64","14.95","","76.30","17.33","43.47","8.10","22.36","64.12","102535"
"India","Karnataka","Hassan","Belur","Financial Year (Apr - Mar), 2020","12.60","55.74","15.11","0.52","66.04","10.71","39.74","8.22","22.31","57.81","128504"
"India","Karnataka","Hassan","Channarayapatna","Financial Year (Apr - Mar), 2020","1.08","43.40","18.32","0.35","74.18","None","54.88","8.05","23.73","40.62","184861"
"India","Karnataka","Hassan","Hassan","Financial Year (Apr - Mar), 2020","6.23","42.68","16.18","0.16","None","NaN","42.75","8.73","14.58","49.40","200009"
"India","Karnataka","Hassan","Hole Narsipur","Financial Year (Apr - Mar), 2020","None","40.47","16.96","0.47","66.60","22.97","44.24","8.74","28.06","46.37","163557"
"India","Karnataka","Hassan","Sakleshpur","Financial Year (Apr - Mar), 2020","22.42","38.90","13.92","0.91","56.90","13.76","45.58","7.26","20.02","58.49","204376"
"India","Karnataka","Haveri","Byadgi","Financial Year (Apr - Mar), 2020","63.17","50.58","46.29","0.03","79.33","6.39","39.11","9.82","49.06","72.93","137788"
"India","Karnataka","Haveri","Hangal","Financial Year (Apr - Mar), 2020","NaN","41.16","46.26","0.20","84.30","25.94","50.69","5.30","44.58","62.24","102786"
"India","Karnataka","Haveri","","Financial Year (Apr - Mar), 2020","16.84","46.73","41.74","0.35","83.70","32.12","51.52","5.27","50.43","60.77","124963"
"India","Karnataka","Haveri","Hirekerur","Financial Year (Apr - Mar), 2020","5.54","52.36","48.47","0.00","86.39","11.23","50.10","6.70","31.06","64.37","105330"
"India","Karnataka","Haveri","Ranibennur","Financial Year (Apr - Mar), 2020","7.46","50.79","48.00","0.07","84.45","NaN","49.77","6.63","28.33","47.37","122145"
"India","Karnataka","Haveri","Rattihalli","Financial Year (Apr - Mar), 2020","None","59.78","46.48","","87.25","19.45","40.32","8.44","27.68","47.21","114302"
"India","Karnataka","Haveri","Savanur","Financial Year (Apr - Mar), 2020","None","44.48","46.07","0.50","86.04","35.13","50.76","7.50","45.48","71.86","103440"
"India","Karnataka","Haveri","Shiggaon","Financial Year (Apr - Mar), 2020","34.58","60.83","46.87","1.23","75.50","29.07","52.41","7.25","44.15","50.88","110381"
"India","Karnataka","Kalaburagi","Afzalpur","Financial Year (Apr - Mar), 2020","5.56","57.99","41.82","0.44","91.62","20.00","56.23","6.89","52.59","48.60","95449"
"India","Karnataka","Kalaburagi","Aland","Financial Year (Apr - Mar), 2020","10.47","58.68","59.49","0.72","96.42","27.93","61.20","11.97","47.98","38.16","103589"
"India","Karnataka","Kalaburagi","Chincholi","Financial Year (Apr - Mar), 2020","7.39","60.88","","1.39","89.37","20.00","50.19","7.65","39.59","52.43","82440"
"India","Karnataka","Kalaburagi","Chittapur","Financial Year (Apr - Mar), 2020","22.35","46.40","48.41","1.64","86.53","21.41","51.97","13.41","69.21","55.18","102692"
"India","Karnataka","Kalaburagi","Jevargi","Financial Year (Apr - Mar), 2020","16.39","59.11","69.19","1.79","86.79","21.73","59.89","9.92","63.43","55.24","82191"
"India","Karnataka","Kalaburagi","Kalaburagi","Financial Year (Apr - Mar), 2020","21.55","53.69","45.10","1.85","81.58","25.37","51.26","7.76","36.75","50.18","96581"
"India","Karnataka","Kalaburagi","Kalagi","Financial Year (Apr - Mar), 2020","29.30","56.91","61.00","2.17","90.92","22.60","47.10","11.84","61.19","68.69","124026"
"India","Karnataka","Kalaburagi","","Financial Year (Apr - Mar), 2020","22.93","63.89","56.70","0.89","85.70","30.17","58.41","7.91","39.67","49.90","158977"
"India","Karnataka","Kalaburagi","","Financial Year (Apr - Mar), 2020","14.67","57.65","54.48","1.65","88.30","NaN","50.87","11.49","54.76","55.55","107423"
"India","Karnataka","Kalaburagi","Shahabad","Financial Year (Apr - Mar), 2020","9.64","44.07","44.42","3.27","93.17","9.62","60.52","18.41","87.60","62.57","69997"
"India","Karnataka","Kalaburagi","Yadrami","Financial Year (Apr - Mar), 2020","33.76","59.89","74.01","1.92","85.36","29.58","66.45","11.00","66.81","67.29","104817"
"India","Karnataka","Kodagu","Madikeri","Financial Year (Apr - Mar), 2020","30.47","36.94","19.47","1.83","85.04","15.49","42.51","3.75","31.83","67.19","214576"
"India","Karnataka","Kodagu","Somvarpet","Financial Year (Apr - Mar), 2020","42.58","38.79","23.50","","None","NaN","40.14","3.72","27.06","54.99","152843"
"India","Karnataka","Kodagu","Virajpet","Financial Year (Apr - Mar), 2020","18.34","34.71","17.01","1.11","67.50","9.27","37.69","6.24","34.86","40.99","211148"
"India","Karnataka","Kolar","Bangarapet","Financial Year (Apr - Mar), 2020","1.56","27.60","9.51","0.14","88.51","11.41","40.36","4.98","21.94","60.45","116162"
"India","Karnataka","Kolar","Kolar","Financial Year (Apr - Mar), 2020","0.89","33.69","14.03","0.18","67.82","1.08","34.70","4.30","21.63","36.70","132383"
"India","Karnataka","Kolar","","Financial Year (Apr - Mar), 2020","4.66","30.48","","0.10","77.23","4.28","41.37","6.34","25.20","47.81","105742"
"India","Karnataka","Kolar","Malur","Financial Year (Apr - Mar), 2020","3.94","38.81","5.79","0.59","67.02","5.79","42.06","5.66","18.91","48.91","210291"
"India","Karnataka","Kolar","Mulbagal","Financial Year (Apr - Mar), 2020","36.72","38.28","13.97","","NaN","4.65","42.17","6.69","16.38","43.90","155743"
"India","Karnataka","Kolar","Srinivaspur","Financial Year (Apr - Mar), 2020","None","26.42","","0.12","87.20","3.85","45.40","6.02","21.21","47.43","134522"
"India","Karnataka","Koppal","Gangawati","Financial Year (Apr - Mar), 2020","9.46","52.48","60.59","0.60","97.82","NaN","57.89","11.62","53.28","72.97","100364"
"India","Karnataka","Koppal","Kanakagiri","Financial Year (Apr - Mar), 2020","NaN","","58.13","0.63","97.32","31.19","48.97","15.59","42.31","77.19","191509"
"India","Karnataka","Koppal","Karatagi","Financial Year (Apr - Mar), 2020","48.48","","47.67","","None","29.96","49.30","9.53","50.68","79.88","115906"
"India","Karnataka","Koppal","Koppal","Financial Year (Apr - Mar), 2020","29.94","","","0.53","92.92","25.75","52.15","10.52","49.01","62.64","117765"
"India","Karnataka","Koppal","Kukunoor","Financial Year (Apr - Mar), 2020","46.39","62.44","53.94","0.86","97.51","37.55","46.63","12.85","47.36","77.07","104288"
